Term,Rule,Replace with (alt term),Style rule explanation,Examples,Related link,New/Updated,Style category,Glossary definition
account console,Use,,"Title case ""Workflows"" and OK to drop ""Databricks"" on subsequent mention.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Lowercase ""widget"" and OK to drop ""Databricks"" on subsequent mention.",,,,"Databricks style,Databricks product/feature name",
account console,Don't use,"Lakeflow Spark Declarative Pipelines (feature)
""pipeline"" (resource).

Note that ""pipeline"" includes more than just SDP pipelines, it also includes ingestion, dbsql, and database pipelines.","The name has been changed to Lakeflow Spark Declarative Pipelines, or Spark Declarative Pipelines (if you don't need to differentiate between OSS and Databricks versions). You can abbreviate as SDP.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,Lowercase.,,,,"Databricks style,Databricks product/feature name",
account console,Use,,Lowercase.,,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Title case ""Feature Store"" and OK to drop ""Databricks"" on subsequent mention.

Use ""Feature Engineering in Unity Catalog"" when referring to feature engineering in UC-enabled workspaces.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Use title capitalization in the following instances:

References to a branded product or feature name (for example, Databricks SQL Serverless).
Note: While Databricks SQL Serverless is a product, serverless compute in most contexts is NOT technically a product name and should be lowercase.

References to SKUs/billing (for example, Databricks SQL Classic, which is a SKU).

Use sentence capitalization in the following instances:

Generic references to serverless, classic, and pro. This includes references to serverless SQL warehouses (formerly endpoints), classic SQL warehouses, and pro SQL warehouses.

References to serverless compute.

References to serverless data planes and classic data planes.
Note: These will probably be renamed “compute planes” in the next few months.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,Mixed casing.,,,,"Databricks style,Databricks product/feature name",
account console,Don't use,DatabricksIQ,,,,,"Databricks style,Databricks product/feature name",
account console,Don't use,Photon,,,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Two words and title case.


Use <Delta> (output = Delta Lake). For tables that use Delta format, don’t use the <Delta> replacement. Instead, manually type Delta table.

Identify content specific to Delta Lake on Databricks or OSS Delta Lake with .. delta-edge-only:: and .. delta-oss-only::. The normal Databricks doc output includes .. delta-edge-only:: content.

For information about testing the OSS build, see Making OSS Delta Lake Release.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Lowercase ""transaction log.""",,,,"Databricks style,Databricks product/feature name",
account console,Don't use,Lakeflow Spark Declarative Pipelines (SDP),"The name has been changed to Lakeflow Spark Declarative Pipelines, or Spark Declarative Pipelines (if you don't need to differentiate between OSS and Databricks versions). You can abbreviate as SDP.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Use <DS> (output = Delta Sharing). Do not use ""Delta sharing.""",,,,"Databricks style,Databricks product/feature name",
account console,Don't use,Delta Sharing,"Use <DS> (output = Delta Sharing). Do not use ""Delta sharing.""",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Lowercase ""table.""",,,,"Databricks style,Databricks product/feature name",
account console,Don't use,Delta table,,,,,"Databricks style,Databricks product/feature name",
Databricks lakehouse,Don't use,"See ""Databricks platform"" in this database.","Do not use ""lakehouse platform."" Do not use ""Azure Databricks lakehouse."" Search on ""Databricks platform"" in this database.

OK to use Databricks lakehouse, lakehouse architecture, data lakehouse architecture, lakehouse pattern, lakehouse paradigm, or lakehouse.

""","Correct: The Databricks Data Intelligence Platform is built on a lakehouse architecture.

Incorrect: The Databricks Data Intelligence Platform is built on a lakehouse platform.

Correct: data lakehouse architecture, lakehouse pattern, lakehouse paradigm, lakehouse

Incorrect: Lakehouse Platform, lakehouse platform",,,"Databricks style,Databricks product/feature name",
account console,Use,,Title case.,,,,"Databricks style,Databricks product/feature name",
account console,Use,,Title case.,,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Data privileges in UC and HMS are capitalized and use backticks. They are not bold.

Workspace ACLs are capitalized and do not use backticks and they are not bold.","Correct: Users with the CAN USE permission can generate personal access tokens.

Correct: You must have the `CREATE CATALOG` privilege on the metastore.

Correct: Users do not have CAN ATTACH TO permission for any cluster that is not enabled for table access control.

Incorrect: Users with the **Can Use** permission can generate personal access tokens.

Incorrect: You must have the CREATE CATALOG privilege on the metastore.",,,"Databricks style,Databricks product/feature name",
account console,Use,,"Use ""SQL warehouse,"" not ""SQL endpoint.""

Databricks changed the name from SQL endpoint to SQL warehouse in 2022 because, in the industry, endpoint refers to either a remote computing device that communicates with a network that it’s connected to, or an entry point to a cloud service. A data warehouse is a data management system that stores current and historical data from multiple sources in a business friendly manner for easier insights and reporting. SQL warehouse accurately describes the full capabilities of this compute resource.",,,,"Databricks style,Databricks product/feature name",
account console,Don't use,SQL warehouse,,,,,"Databricks style,Databricks product/feature name",
account console,Use,,Title case in all instances.,,,,"Databricks style,Databricks product/feature name",
account console,Use,,,,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Use <AS> for Apache Spark.

When referring to Databricks’ role in Apache Spark, use the word “original” in front of anything that refers to creating or starting Apache Spark. For example, “from/by the original creators of Apache Spark” and “from/by the team that originally created Apache Spark” are acceptable phrases but it is critical to include the word “original / originally” in these phrases. See Official Apache guidelines in the Related link column.",,https://docs.google.com/document/d/1ziesfIHGKDp60t9zUnvSOuCDnDNvL0T4OsHU45wtn6A/edit#heading=h.w905yknnxtzl,,"Databricks style,Databricks product/feature name",
account console,Use,,Use Databricks Runtime for Genomics or Databricks Runtime <version> Genomics (<DBRG> replacement).,,,,Databricks product/feature name,
account console,Don't use,,Deprecated feature. Use only when necessary to refer to the deprecated feaure.,,,,Databricks product/feature name,
account console,Use,,"The name has been changed to Lakeflow Spark Declarative Pipelines, (you can use ""Spark Declarative Pipelines"" if you don't need to differentiate between OSS and Databricks versions). You can abbreviate as SDP.

Use: ""Lakeflow Spark Declarative Pipelines"" when referring to the product/feature (use the replacement). To differentiate from OSS, you can call it ""Lakeflow Spark Declarative Pipelines"". Abbreviate as ""SDP"" (never LSDP--you can say ""Lakeflow SDP"").

The feature name is ""Lakeflow Spark Declarative Pipelines"": Avoid the singular; to discuss a single pipeline resource, use ""pipeline"" instead.

Replacement token :re[LDP] for ""Lakeflow Spark Declarative Pipelines""

As a qualifier, as in “DLT flows”, use “Lakeflow Spark Declarative Pipelines <noun>”. Do NOT use “Lakeflow Spark Declarative Pipelines"" or ""SDP"" in front of “pipeline”.",,,,"Databricks style,Databricks product/feature name",
account console,Don't use,"Use the following term instead: ""Lakeflow Jobs"" when referring to the feature; ""jobs"" when referring to the resource. If it could be either, defer to referring to the resource (as a ""job"").","""Workflows"" was rebranded as ""Lakeflow Jobs"" (with a stop at ""Databricks Jobs"" in between).

For lower-case ""workflows"", change it to ""jobs"" when referring specifically to configured data processing tasks on Databricks.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Use this when referring to configured data processing tasks run on Databricks. Use ""jobs"" for referring to the resource (that you create and edit). Do not use ""Jobs"" by itself unless referring to UI elements. Do not use ""workflows"" as a resource or feature name.",,,,"Databricks style,Databricks product/feature name",
ACID,Use,,"Lowercase ""atomicity, consistency, isolation, durability (ACID)"" when spelling out full name. Use ""ACID"" on subsequent mention.",,,,Industry standard terminology,
ACID transactions,Use,,"Lowercase ""transactions.""",,,,Industry standard terminology,
actionable,Don't use,,"Don’t use because it has a specific legal meaning. Rewrite or use a simpler, clearer word instead.",,,,Legal,
adaptive query optimization,Use,,Lowercase.,,,,Industry standard terminology,
alert,Use,,Lowercase.,,,,"UI terminology,UI element name",
allowlist,Use,,"One word and lowercase.

Don’t use allowlist as a verb (for example, ""You need to allowlist the user.""). Instead, rewrite to improve clarity.",,,,Inclusive language,
"AM, PM",Use,,Industry standard: Use all caps.,,https://learn.microsoft.com/en-us/style-guide/a-z-word-list-term-collections/term-collections/date-time-terms,,"Databricks style,Industry standard terminology,Google style,MSTP",
and/or,Don't use,Use the following term instead: or,"Don't use because it's hard to translate and ""and"" is implied when you you use ""or"" by itself.","Correct: Verify that you have saved your connection or file.

Incorrect: Verify that you have closed your connection and/or file.",,,Localization,
Apache,Use,,One word and title case.,,,,3rd-party product/feature,
Apache Arrow,Use,,Two words and title case.,,,,3rd-party product/feature,
Apache GraphX,Use,,Two words and mixed case.,,,,3rd-party product/feature,
Apache Kafka,Use,,Two words and title case.,,,,3rd-party product/feature,
Apache MLlib,Use,,Two words and mixed case.,,,,3rd-party product/feature,
Apache Software Foundation,Use,,Two words and title case.,,,,3rd-party product/feature,
Apache Spark,Use,,Two words and title case.,,,,3rd-party product/feature,
Apache Spark Streaming,Use,,Two words and title case.,,,,3rd-party product/feature,
appears,Use,,"Use appears to refer to something that appears on the screen. Don't use ""displays"" as an intransitive verb. ""Display"" is a transitive verb and it requires an object.","Correct: The Create Library dialog appears.
Correct: The Create Library dialog is displayed.

Incorrect: The Create Library dialog displays.",,,"Databricks style,UI terminology",
APPLY CHANGES,Don't use,"""AutoCDC"" when referring to the feature; ""AUTO CDC"" in code and instructional guidance.","For DAIS 2025, Databricks changed the ""APPLY CHANGES"" feature name to ""AutoCDC"" and the supporting SQL syntax to ""AUTO CDC"".",,,,,
"article, as reference to page on docs.databricks.com",Don't use,page,"Use ""page"" to refer to pages on docs.databricks.com.

Legacy content uses ""article"" to refer to pages on docs.databricks.com, which is overly formal, old-school terminology. In addition, it could be mistranslated.",,,,Databricks style,
"articles:
a
an
the
that",Use,,"Don’t drop optional articles and words that add clarity, even if the sentence makes sense and is grammatically correct without it.",,,,"Databricks style,Localization",
"as
since
(as synonyms for ""because"")",Avoid,Use the following term instead: because,"Don’t use ""as"" or ""since"" to mean ""because"" in subordinate clauses because they have multiple meanings and can be hard to translate.",,https://databricks.atlassian.net/wiki/spaces/docstyle/pages/2838004249/Voice+tone+and+audience#Global-audience:-Localization-and-accessibility,,"Databricks style,Localization",
"as
since
(when you mean ""because"")",Don't use,Use the following term instead: because,"Don’t use ""as"" or ""since"" to mean ""because"" in subordinate clauses because ""as"" and ""since"" have multiple meanings. While ""as"" and ""since"" are grammatically correct, they are more difficult for ESL readers and machine translation services to translate correctly.","Correct: The value of the type cannot be cast to because it is malformed.

Incorrect: The value of the type cannot be cast to as it is malformed.
Incorrect: The value of the type cannot be cast to since it is malformed.",,,Databricks style,
as well,Don't use,"Use the following terms instead:
also
too",Don't use because it has multiple meanings and can be hard to translate.,,,,"Databricks style,Localization",
as well as,Don't use,"Use the following terms instead:
and
in addition to
as","Don’t use ""as well as"" for and or in addition to because as well as has multiple meanings. While it's grammatically correct, it’s more difficult for ESL readers and machine translation services to translate correctly.","Correct: Call Databricks automation APIs directly by using popular clients such as curl, Postman, HTTPie, and popular libraries such as requests for Python.

Incorrect: Call Databricks automation APIs directly by using popular clients such as curl, Postman, and HTTPie, as well as popular libraries such as requests for Python.


Correct: Databricks can read data from and write data to a variety of data formats such as CSV, Delta Lake, JSON, Parquet, XML, and other formats, in addition to data storage providers such as Amazon S3, Google BigQuery and Cloud Storage, Snowflake, and other providers.

Incorrect: Databricks can read data from and write data to a variety of data formats such as CSV, Delta Lake, JSON, Parquet, XML, and other formats, as well as data storage providers such as Amazon S3, Google BigQuery and Cloud Storage, Snowflake, and other providers.

Explanation: What’s the problem here? This sentence could have the following unintended meaning: “Databricks reads data from these formats with an equally good result as other data storage providers” (not what the author intended).",https://databricks.atlassian.net/wiki/spaces/docstyle/pages/2838004249/Voice+tone+and+audience#Global-audience:-Localization-and-accessibility,,Localization,
AWS PrivateLink,Use,,Two words and mixed case.,,,,3rd-party product/feature,
banner,Use,,Lowercase.,,,,"UI terminology,UI element name",
"be sure
make sure
ensure",Don't use,"Use the following terms instead:
check
verify",Remove or use an alternative term.,"Correct: Run all the following cells
Incorrect: Be sure to run all the cells above

Correct: Verify that the cluster_name property is set.
Incorrect: Make sure to set the cluster_name property.",,,Databricks style,
bento menu,Use,,Use to refer to the visual menu style that has 3 x 3 squares.,,https://databricks.atlassian.net/wiki/spaces/docstyle/pages/2916549408/A-Z+word+list#Menu-icon-names,,"UI terminology,UI element name,Industry standard terminology",
best-in-class,Don't use,,Remove/rewrite. Don’t use marketing jargon,,,,Databricks style,
big data,Use,,Lowercase.,,,,Industry standard terminology,
blacklist,Don't use,Use the following term instead: denylist,"Offensive word (not inclusive; old terminology). Don’t use biased language.

It's OK to use ""blacklist"" if it’s in the UI text, error message, or code that you can’t change. If possible, work with the engineering and design teams to change the term in the UI.",,,,"Inclusive language,Offensive language",
"blind
blind to
blind eye
dumb",Don't use,"Use any of the following terms instead:
doesn’t understand
ignore
unbiased
anonymous
anonymized
Or a more precise term",Offensive word (not inclusive; old terminology). Don’t use ableist language.,,,,"Inclusive language,Ableist language,Offensive language",
"breach
break through",Use,,"Use instead of aggressive or militaristic terms like ""invade.""",,,,"Databricks style,Inclusive language,Localization",
breadcrumb,Use,,One word and lowercase.,,,,"UI terminology,UI element name",
Bricksters,Don't use,Use the following term instead: Databricks employees,Don't use internal company jargon.,,,,Databricks internal term,
checkbox,Use,,"One word. Don't use ""check box"" or ""box.""

Verbs: Use ""select"" or ""clear"" to describe selecting or deselecting a checkbox in the UI. Don’t use any of the following: choose, toggle, select/deselect, turn on/turn off, mark/unmark, or check/uncheck.",,,,"Databricks style,Industry standard terminology,MSTP",
click,Use,,"For menus, buttons, and links, use ""click."" Don't use ""click on,"" ""choose,"" or ""select"" for these UI elements. Use ""select"" for check boxes or other multiselect options in the UI.","Correct: Click the Account icon and select Manage Account.
Correct: In the left navigation pane, click Models.

Incorrect: Click on the query that you want to run.",,,"Databricks style,UI terminology,Industry standard terminology",
click on,Don't use,Use the following term instead: click,,,,,"Databricks style,Industry standard terminology",
cloud-native,Don't use,Use the following term instead: cloud first,"If necessary, you can use ""cloud first"" to describe technologies that are built originally for the cloud (optimized for cloud scale and performance). Use judiciously and make sure it’s necessary to add clarity.",,,,Inclusive language,
"command line
command-line
command-line interface (CLI)",Use,,Two words as a noun. Hyphenate as an adjective.,,https://learn.microsoft.com/en-us/style-guide/a-z-word-list-term-collections/c/command-line,,"Databricks style,MSTP",
"complete
finish",Use,,"""Complete"" has multiple meanings. It can imply that something is whole or full. It’s also a synonym for finish. As a best practice, use the term that’s the most precise to avoid confusion and ensure an accurate translation.

""Completed"" means finished, accomplished, or done.

Don't use ""completes"" as an intransitive verb.","Correct: When the transaction is complete…
Correct: When the transaction is completed…
Correct: When the transaction is finished…

Incorrect: When the transaction completes...",,,"Databricks style,Industry standard terminology",
"crazy
insane",Don't use,"Use any of the following terms instead:
complicated
complex
intense
time-consuming",Offensive word (not inclusive; old terminology). Don’t use ableist language. The alternative terms are more precise.,,,,"Inclusive language,Ableist language",
cross-references,Use,Use the following term instead: about,"In cross-references, use ""about"" instead of ""on"" because about is more precise and better for localization. For example, use ""For more information about...""",,,,"Databricks style,Localization",
"cyberattack
cybersecurity",Use,,One word and no hyphen.,,,,Industry standard terminology,
"Databricks
(company name, Databricks, Inc.)",Use,,"Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.",,,,Databricks style,
"Databricks Git folder
Git folders",Use,,"Two words and mixed casing. Use to refer to the Databricks feature (formerly Databricks Repos). OK to drop ""Databricks"" on subsequent mentions.",,,New,"UI terminology,UI element name",
Databricks recommends…,Use,,"Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.",,,,Databricks style,
Databricks Workflows,,,,,,,,
demilitarized zone,Don't use,Use the following term instead: perimeter network,"Offensive word (not inclusive; old terminology). Don’t use violent, militaristic, or profane language.",,,,"Inclusive language,Offensive language",
denylist,Use,,One word.,,,,Inclusive language,
"desire
wish",Don't use,Use the following term instead: want,,,,,Databricks style,
dialog,Use,,"In general, avoid talking about UI. Instead, talk about what the customer needs to do.
When you need to refer to a dialog box, use ""dialog"".

Don't use any of the following: pop-up window, dialog box, or dialogue box.",,,,"Databricks style,UI terminology,Industry standard terminology,MSTP",
"dialog box
dialogue box
pop-up window",Don't use,Use the following term instead: dialog,"In general, avoid talking about UI. Instead, talk about what the customer needs to do.",,,,Databricks style,
digital transformation,Don't use,,Remove/rewrite. Don’t use marketing jargon.,,,,Databricks style,
"Directionals:
top <left/right>
bottom <right/left>
far <right/left>
(with or without hyphens)",Don't use,"Use any of the following terms instead:
upper-left <UI element>
upper-right <UI element>
lower-left <UI element>
lower-right <UI element>
leftmost <UI element>
rightmost <UI element>","Use UI text labels to refer to UI elements. If you must refer to the location of something in the UI, use the appropriate alternative term so that screen readers can interpret the information correctly.",,,,"Databricks style,Inclusive language,UI terminology,Ableist language,MSTP",
"Directionals:
upper-left <UI element>
upper-right <UI element>
lower-left <UI element>
lower-right <UI element>
leftmost <UI element>
rightmost <UI element>",Use,,"Use UI text labels to refer to UI elements. If you must refer to the location of something in the UI, use the appropriate term so that screen readers can interpret the information correctly.

Accessibility note:
Don't use directional terms (for example, upper right, lower left, or rightmost) as the only indicator for location because individuals with cognitive impairments and low vision might have difficulty interpreting them. It's OK to use a directional term if you include another location indicator like the UI element (see examples).","Correct: upper-right side of the page
Correct: lower-left corner
Correct: rightmost table column",,,"Databricks style,Inclusive language,UI terminology,Ableist language,MSTP",
displays,Don't use,Use the following term instead: appears,"Use ""appears"" to refer to something that appears on the screen. Don’t use ""displays.""",,,,Localization,
displays,Don't use,"Use the following terms instead:
appears
is displayed","Don't use ""displays"" as an intransitive verb. Display is a transitive verb and it requires an object.","Correct: The Create Library dialog appears.
Correct: The Create Library dialog is displayed.

Incorrect: The Create Library dialog displays.",,,Databricks style,
disruptive,Don't use,,"Don’t use marketing jargon. Instead, describe how this product or feature is different or new, and why it's unique.",,,,Databricks style,
DMZ,Don't use,Use the following term instead: perimeter network,"Offensive word (not inclusive; old terminology). Don’t use violent, militaristic, or profane language.",,,,"Inclusive language,Offensive language",
Döner menu,Use,,Use to refer to the visual menu style that has three horizontal bars of unequal width.,,https://databricks.atlassian.net/wiki/spaces/docstyle/pages/2916549408/A-Z+word+list#Menu-icon-names,,"UI terminology,UI element name,Industry standard terminology",
"drop-down menu
drop-down list",Use,,"Hyphenate ""drop-down"" and always include ""menu"" or ""list.""",,,,"UI terminology,UI element name",
