slug	category	cohort	lines	h1	h2_count	numbered_sections	table_rows	code_blocks	hex_count	oklch_count	never_count	always_count	non_negotiable_count	has_yaml_front_matter	has_manifest	has_tokens_css	has_usage_md	has_components_html	has_preview	visual_theme	color	typography	components	layout	depth	donts	responsive	agent_guide	motion	voice	accessibility	iconography	data_viz	h2_headings
brutalism	Bold & Expressive	other	72	Design System Inspired by Brutalism	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
bugatti	Automotive	other	272	Design System Inspired by Bugatti	9	9	37	0	58	0	3	4	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
cafe	Creative & Artistic	other	72	Design System Inspired by Cafe	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
cal	Productivity & SaaS	dev-friendly	263	Design System Inspired by Cal.com	9	9	33	0	33	0	3	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
canva	Design & Creative	dev-friendly	165	Design System Inspired by Canva	7	7	11	0	47	0	2	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	false	true	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Spacing & Layout | 6. Motion | 7. Usage Guardrails
cisco	Backend & Data	dev-friendly	202	Design System Inspired by Cisco	9	9	10	0	39	0	1	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	true	true	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Motion & Interaction | 7. Voice & Brand | 8. Anti-patterns | 9. Agent Prompt Guide
claude	AI & LLM	dev-friendly	316	Design System Inspired by Claude (Anthropic)	9	9	32	0	97	0	3	2	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
clay	Design & Creative	dev-friendly	308	Design System Inspired by Clay	9	9	32	0	70	0	1	1	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
claymorphism	Morphism & Effects	other	72	Design System Inspired by Claymorphism	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
clean	Modern & Minimal	other	72	Design System Inspired by Clean	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
clickhouse	Backend & Data	dev-friendly	285	Design System Inspired by ClickHouse	9	9	30	0	63	0	3	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
cohere	AI & LLM	dev-friendly	270	Design System Inspired by Cohere	9	9	27	0	37	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
coinbase	Fintech & Crypto	other	133	Design System Inspired by Coinbase	9	9	15	0	31	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
colorful	Bold & Expressive	other	72	Design System Inspired by Colorful	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
composio	Backend & Data	dev-friendly	311	Design System Inspired by Composio	9	9	34	0	31	5	3	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
contemporary	Modern & Minimal	other	72	Design System Inspired by Contemporary	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
corporate	Professional & Corporate	other	72	Design System Inspired by Corporate	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
cosmic	Creative & Artistic	other	72	Design System Inspired by Cosmic	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
creative	Creative & Artistic	other	72	Design System Inspired by Creative	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
cursor	Developer Tools	dev-friendly	313	Design System Inspired by Cursor	9	9	35	0	64	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	true	false	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Interaction & Motion | 8. Responsive Behavior | 9. Agent Prompt Guide
dashboard	Professional & Corporate	other	72	Design System Inspired by Dashboard	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
default	Starter	other	63	Neutral Modern	9	0	0	0	9	0	3	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	false	Visual Theme & Atmosphere | Color Palette & Roles | Typography Rules | Component Stylings | Layout Principles | Depth & Elevation | Do's and Don'ts | Responsive Behavior | Agent Prompt Guide
discord	Productivity & SaaS	dev-friendly	169	Design System Inspired by Discord	7	7	13	0	46	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Spacing & Layout | 6. Motion | 7. Usage Guardrails
dithered	Retro & Nostalgic	other	72	Design System Inspired by Dithered	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
doodle	Creative & Artistic	other	72	Design System Inspired by Doodle	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
dramatic	Bold & Expressive	other	72	Design System Inspired by Dramatic	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
duolingo	Productivity & SaaS	dev-friendly	161	Design System Inspired by Duolingo	7	7	11	0	51	0	2	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	false	true	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Spacing & Layout | 6. Motion | 7. Usage Guardrails
editorial	Creative & Artistic	other	72	Design System Inspired by Editorial	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
elegant	Professional & Corporate	other	72	Design System Inspired by Elegant	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
elevenlabs	AI & LLM	dev-friendly	269	Design System Inspired by ElevenLabs	9	9	29	0	32	0	1	1	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
energetic	Bold & Expressive	other	73	Design System Inspired by Energetic	9	9	0	0	14	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
enterprise	Professional & Corporate	other	72	Design System Inspired by Enterprise	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
expo	Developer Tools	dev-friendly	285	Design System Inspired by Expo	9	9	24	0	65	0	0	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
expressive	Bold & Expressive	other	72	Design System Inspired by Expressive	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
fantasy	Creative & Artistic	other	72	Design System Inspired by Fantasy	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
ferrari	Automotive	other	318	Design System Inspired by Ferrari	9	9	35	0	73	0	1	1	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
figma	Design & Creative	dev-friendly	224	Design System Inspired by Figma	9	9	25	0	11	0	3	4	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
flat	Modern & Minimal	other	72	Design System Inspired by Flat	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
framer	Design & Creative	dev-friendly	250	Design System Inspired by Framer	9	9	31	0	29	0	4	1	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
friendly	Creative & Artistic	other	72	Design System Inspired by Friendly	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
futuristic	Themed & Unique	other	72	Design System Inspired by Futuristic	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
github	Developer Tools	dev-friendly	162	Design System Inspired by GitHub	7	7	10	0	62	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	false	true	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Spacing & Layout | 6. Motion | 7. Usage Guardrails
glassmorphism	Morphism & Effects	other	72	Design System Inspired by Glassmorphism	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
gradient	Morphism & Effects	other	72	Design System Inspired by Gradient	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
hashicorp	Backend & Data	dev-friendly	282	Design System Inspired by HashiCorp	9	9	36	0	78	0	0	4	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
hud	Themed & Unique	other	173	HUD Design System	9	9	29	4	28	0	2	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
huggingface	AI & LLM	dev-friendly	156	Design System Inspired by Hugging Face	7	7	11	0	52	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	false	false	false	false	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Spacing & Layout | 6. Motion | 7. Usage Guardrails
ibm	Media & Consumer	other	336	Design System Inspired by IBM	9	9	33	0	109	0	2	1	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	true	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
intercom	Productivity & SaaS	dev-friendly	150	Design System Inspired by Intercom	9	9	15	0	45	0	0	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	true	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
kami	Editorial & Print	other	411	Design System Inspired by kami (紙 / 纸)	10	9	43	10	67	0	10	3	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide | Attribution
kraken	Fintech & Crypto	other	129	Design System Inspired by Kraken	9	9	12	0	36	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
lamborghini	Automotive	other	292	Design System Inspired by Lamborghini	9	9	38	0	77	0	2	4	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
levels	Layout & Structure	other	72	Design System Inspired by Levels	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
linear-app	Productivity & SaaS	dev-friendly	371	Design System Inspired by Linear	9	9	47	0	93	0	3	4	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
lingo	Creative & Artistic	other	72	Design System Inspired by Lingo	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
loom	Themed & Unique	other	201	Loom Design System	9	9	24	6	31	0	0	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
lovable	Developer Tools	dev-friendly	302	Design System Inspired by Lovable	9	9	30	0	66	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
luxury	Professional & Corporate	other	72	Design System Inspired by Luxury	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
