key	display	category	descriptor	best_tier	in_sources	best_source	best_path	lines	has_front_matter	front_matter_keys	h2_count	table_rows	code_blocks	hex_count	never_count	always_count	non_negotiable_count
clean	Clean			stub	open-design	open-design	open-design/design-systems/clean/DESIGN.md	72	false		9	0	0	13	0	0	0
clickhouse	ClickHouse	Backend, Database & DevOps	Fast analytics database. Yellow-accented, technical documentation style	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/clickhouse/DESIGN.md	545	true	version; name; description; colors; typography; rounded; spacing; components	11	37	0	51	2	1	0
cohere	Cohere	AI & LLM Platforms	Enterprise AI platform. Vibrant gradients, data-rich dashboard aesthetic	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/cohere/DESIGN.md	452	true	version; name; description; colors; typography; rounded; spacing; components	11	37	0	45	0	0	0
coinbase	Coinbase	Fintech & Crypto	Crypto exchange. Clean blue identity, trust-focused, institutional feel	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/coinbase/DESIGN.md	571	true	version; name; description; colors; typography; rounded; spacing; components	11	40	0	50	5	0	0
colorful	Colorful			stub	open-design	open-design	open-design/design-systems/colorful/DESIGN.md	72	false		9	0	0	13	0	0	0
composio	Composio	Backend, Database & DevOps	Tool integration platform. Modern dark with colorful integration icons	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/composio/DESIGN.md	507	true	version; name; description; colors; typography; rounded; spacing; components	11	39	0	53	2	0	0
contemporary	Contemporary			stub	open-design	open-design	open-design/design-systems/contemporary/DESIGN.md	72	false		9	0	0	13	0	0	0
corporate	Corporate			stub	open-design	open-design	open-design/design-systems/corporate/DESIGN.md	72	false		9	0	0	13	0	0	0
cosmic	Cosmic			stub	open-design	open-design	open-design/design-systems/cosmic/DESIGN.md	72	false		9	0	0	13	0	0	0
creative	Creative			stub	open-design	open-design	open-design/design-systems/creative/DESIGN.md	72	false		9	0	0	13	0	0	0
cursor	Cursor	Developer Tools & IDEs	AI-first code editor. Sleek dark interface, gradient accents	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/cursor/DESIGN.md	538	true	version; name; description; colors; typography; rounded; spacing; components	11	38	0	55	7	0	0
dashboard	Dashboard			stub	open-design	open-design	open-design/design-systems/dashboard/DESIGN.md	72	false		9	0	0	13	0	0	0
default	Default			other	open-design	open-design	open-design/design-systems/default/DESIGN.md	63	false		9	0	0	9	3	0	0
dell1996	Dell (1996)	Retro Web · DESIGN.md Nostalgia	"Catalog-era enterprise web. Literal black page frame, flat color-block ""ribbon cards"", chunky Helvetica-Black titles over Times Roman body, and hand-cut GIF stickers (NEW! bursts, award seals, beveled product photos)."	site-analysis	voltagent	voltagent	awesome-design-md/design-md/dell-1996/DESIGN.md	633	true	version; name; description; colors; typography; rounded; spacing; components	8	27	0	35	7	3	1
discord	Discord			inspired-by	open-design	open-design	open-design/design-systems/discord/DESIGN.md	169	false		7	13	0	46	0	0	0
dithered	Dithered			stub	open-design	open-design	open-design/design-systems/dithered/DESIGN.md	72	false		9	0	0	13	0	0	0
doodle	Doodle			stub	open-design	open-design	open-design/design-systems/doodle/DESIGN.md	72	false		9	0	0	13	0	0	0
dramatic	Dramatic			stub	open-design	open-design	open-design/design-systems/dramatic/DESIGN.md	72	false		9	0	0	13	0	0	0
duolingo	Duolingo			inspired-by	open-design	open-design	open-design/design-systems/duolingo/DESIGN.md	161	false		7	11	0	51	2	0	0
editorial	Editorial			stub	open-design	open-design	open-design/design-systems/editorial/DESIGN.md	72	false		9	0	0	13	0	0	0
elegant	Elegant			stub	open-design	open-design	open-design/design-systems/elegant/DESIGN.md	72	false		9	0	0	13	0	0	0
elevenlabs	ElevenLabs	AI & LLM Platforms	AI voice platform. Dark cinematic UI, audio-waveform aesthetics	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/elevenlabs/DESIGN.md	505	true	version; name; description; colors; typography; rounded; spacing; components	11	40	0	60	10	0	0
energetic	Energetic			stub	open-design	open-design	open-design/design-systems/energetic/DESIGN.md	73	false		9	0	0	14	0	0	0
enterprise	Enterprise			stub	open-design	open-design	open-design/design-systems/enterprise/DESIGN.md	72	false		9	0	0	13	0	0	0
expo	Expo	Developer Tools & IDEs	React Native platform. Dark theme, tight letter-spacing, code-centric	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/expo/DESIGN.md	527	true	version; name; description; colors; typography; rounded; spacing; components	11	41	0	66	7	0	0
expressive	Expressive			stub	open-design	open-design	open-design/design-systems/expressive/DESIGN.md	72	false		9	0	0	13	0	0	0
fantasy	Fantasy			stub	open-design	open-design	open-design/design-systems/fantasy/DESIGN.md	72	false		9	0	0	13	0	0	0
ferrari	Ferrari	Automotive	Luxury automotive. Chiaroscuro black-white editorial, Ferrari Red with extreme sparseness	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/ferrari/DESIGN.md	532	true	version; name; description; colors; typography; rounded; spacing; components	11	38	0	64	9	0	0
figma	Figma	Design & Creative Tools	Collaborative design tool. Vibrant multi-color, playful yet professional	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/figma/DESIGN.md	579	true	version; name; description; colors; typography; rounded; spacing; components	11	39	0	20	4	5	0
flat	Flat			stub	open-design	open-design	open-design/design-systems/flat/DESIGN.md	72	false		9	0	0	13	0	0	0
framer	Framer	Design & Creative Tools	Website builder. Bold black and blue, motion-first, design-forward	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/framer/DESIGN.md	545	true	version; name; description; colors; typography; rounded; spacing; components	11	36	0	19	5	0	0
friendly	Friendly			stub	open-design	open-design	open-design/design-systems/friendly/DESIGN.md	72	false		9	0	0	13	0	0	0
futuristic	Futuristic			stub	open-design	open-design	open-design/design-systems/futuristic/DESIGN.md	72	false		9	0	0	13	0	0	0
github	Github			inspired-by	open-design	open-design	open-design/design-systems/github/DESIGN.md	162	false		7	10	0	62	1	1	0
glassmorphism	Glassmorphism			stub	open-design	open-design	open-design/design-systems/glassmorphism/DESIGN.md	72	false		9	0	0	13	0	0	0
gradient	Gradient			stub	open-design	open-design	open-design/design-systems/gradient/DESIGN.md	72	false		9	0	0	13	0	0	0
hashicorp	HashiCorp	Backend, Database & DevOps	Infrastructure automation. Enterprise-clean, black and white	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/hashicorp/DESIGN.md	576	true	version; name; description; colors; typography; rounded; spacing; components	11	37	0	33	2	0	0
hp	HP	Media & Consumer Tech	PC and printer maker. Pure white canvas, HP Electric Blue signal CTA, geometric Forma DJR Micro, blue chevron decorations	site-analysis	voltagent	voltagent	awesome-design-md/design-md/hp/DESIGN.md	671	true	version; name; description; colors; typography; rounded; spacing; components	10	40	0	58	5	0	0
hud	Hud			other	open-design	open-design	open-design/design-systems/hud/DESIGN.md	173	false		9	29	4	28	2	1	0
huggingface	Huggingface			inspired-by	open-design	open-design	open-design/design-systems/huggingface/DESIGN.md	156	false		7	11	0	52	1	1	0
ibm	IBM	Media & Consumer Tech	Enterprise technology. Carbon design system, structured blue palette	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/ibm/DESIGN.md	551	true	version; name; description; colors; typography; rounded; spacing; components	11	36	0	31	1	0	0
intercom	Intercom	Productivity & SaaS	Customer messaging. Friendly blue palette, conversational UI patterns	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/intercom/DESIGN.md	547	true	version; name; description; colors; typography; rounded; spacing; components	11	38	0	39	5	0	0
kami	Kami			inspired-by	open-design	open-design	open-design/design-systems/kami/DESIGN.md	411	false		10	43	10	67	10	3	0
kraken	Kraken	Fintech & Crypto	Crypto trading platform. Purple-accented dark UI, data-dense dashboards	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/kraken/DESIGN.md	126	false		9	12	0	36	0	0	0
lamborghini	Lamborghini	Automotive	Luxury automotive. True black cathedral, gold accent, LamboType custom Neo-Grotesk	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/lamborghini/DESIGN.md	289	false		9	38	0	77	2	4	1
levels	Levels			stub	open-design	open-design	open-design/design-systems/levels/DESIGN.md	72	false		9	0	0	13	0	0	0
linear	Linear	Productivity & SaaS	Project management for engineers. Ultra-minimal, precise, purple accent	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/linear.app/DESIGN.md	549	true	version; name; description; colors; typography; rounded; spacing; components	11	39	0	46	3	0	0
lingo	Lingo			stub	open-design	open-design	open-design/design-systems/lingo/DESIGN.md	72	false		9	0	0	13	0	0	0
loom	Loom			other	open-design	open-design	open-design/design-systems/loom/DESIGN.md	201	false		9	24	6	31	0	1	0
lovable	Lovable	Developer Tools & IDEs	AI full-stack builder. Playful gradients, friendly dev aesthetic	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/lovable/DESIGN.md	299	false		9	30	0	66	1	1	0
luxury	Luxury			stub	open-design	open-design	open-design/design-systems/luxury/DESIGN.md	72	false		9	0	0	13	0	0	0
mastercard	Mastercard	Fintech & Crypto	Global payments network. Warm cream canvas, orbital pill shapes, editorial warmth	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/mastercard/DESIGN.md	366	false		9	31	0	51	10	6	0
material	Material			stub	open-design	open-design	open-design/design-systems/material/DESIGN.md	72	false		9	0	0	13	0	0	0
meta	Meta	E-commerce & Retail	Tech retail store. Photography-first, binary light/dark surfaces, Meta Blue CTAs	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/meta/DESIGN.md	684	true	version; name; description; colors; typography; rounded; spacing; components	11	41	0	30	4	1	0
minimal	Minimal			stub	open-design	open-design	open-design/design-systems/minimal/DESIGN.md	72	false		9	0	0	13	0	0	0
minimax	Minimax	AI & LLM Platforms	AI model provider. Bold dark interface with neon accents	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/minimax/DESIGN.md	747	true	version; name; description; colors; typography; rounded; spacing; components	11	42	0	31	3	1	0
mintlify	Mintlify	Productivity & SaaS	Documentation platform. Clean, green-accented, reading-optimized	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/mintlify/DESIGN.md	853	true	version; name; description; colors; typography; rounded; spacing; components	11	45	0	32	4	1	0
miro	Miro	Design & Creative Tools	Visual collaboration. Bright yellow accent, infinite canvas aesthetic	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/miro/DESIGN.md	826	true	version; name; description; colors; typography; rounded; spacing; components	11	45	0	40	1	1	0
missioncontrol	Mission Control			other	open-design	open-design	open-design/design-systems/mission-control/DESIGN.md	476	false		9	47	16	48	1	1	0
mistral	Mistral AI	AI & LLM Platforms	Open-weight LLM provider. French-engineered minimalism, purple-toned	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/mistral.ai/DESIGN.md	774	true	version; name; description; colors; typography; rounded; spacing; components	11	44	0	36	1	1	0
modern	Modern			stub	open-design	open-design	open-design/design-systems/modern/DESIGN.md	72	false		9	0	0	13	0	0	0
mongodb	MongoDB	Backend, Database & DevOps	Document database. Green leaf branding, developer documentation focus	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/mongodb/DESIGN.md	768	true	version; name; description; colors; typography; rounded; spacing; components	11	40	0	34	0	1	0
mono	Mono			stub	open-design	open-design	open-design/design-systems/mono/DESIGN.md	72	false		9	0	0	13	0	0	0
neobrutalism	Neobrutalism			stub	open-design	open-design	open-design/design-systems/neobrutalism/DESIGN.md	72	false		9	0	0	13	0	0	0
neon	Neon			stub	open-design	open-design	open-design/design-systems/neon/DESIGN.md	72	false		9	0	0	13	0	0	0
neumorphism	Neumorphism			stub	open-design	open-design	open-design/design-systems/neumorphism/DESIGN.md	72	false		9	0	0	13	0	0	0
nike	Nike	E-commerce & Retail	Athletic retail. Monochrome UI, massive uppercase Futura, full-bleed photography	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/nike/DESIGN.md	576	true	version; name; description; colors; typography; rounded; spacing; components	11	37	0	46	9	1	0
nintendo2001	Nintendo.com (2001)	Retro Web · DESIGN.md Nostalgia	"Y2K ""console chrome"" web. Brushed-periwinkle beveled metal panels, a halftone-dotted carbon nav glowing amber, outlined Arial-Black box-art wordmarks over circuit-board hero fields, and a pixel Mario welcome bubble."	site-analysis	voltagent	voltagent	awesome-design-md/design-md/nintendo-2001/DESIGN.md	650	true	version; name; description; colors; typography; rounded; spacing; components	8	27	0	41	5	3	0
notion	Notion	Productivity & SaaS	All-in-one workspace. Warm minimalism, serif headings, soft surfaces	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/notion/DESIGN.md	822	true	version; name; description; colors; typography; rounded; spacing; components	11	40	0	47	0	0	0
nvidia	NVIDIA	Media & Consumer Tech	GPU computing. Green-black energy, technical power aesthetic	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/nvidia/DESIGN.md	641	true	version; name; description; colors; typography; rounded; spacing; components	11	41	0	54	7	1	0
ollama	Ollama	AI & LLM Platforms	Run LLMs locally. Terminal-first, monochrome simplicity	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/ollama/DESIGN.md	540	true	version; name; description; colors; typography; rounded; spacing; components	11	34	0	34	5	1	0
openai	Openai			inspired-by	open-design	open-design	open-design/design-systems/openai/DESIGN.md	147	false		7	12	0	42	0	0	0
opencode	OpenCode AI	AI & LLM Platforms	AI coding platform. Developer-centric dark theme	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/opencode.ai/DESIGN.md	522	true	version; name; description; colors; typography; rounded; spacing; components	11	28	0	65	3	3	0
pacman	Pacman			stub	open-design	open-design	open-design/design-systems/pacman/DESIGN.md	72	false		9	0	0	13	0	0	0
paper	Paper			stub	open-design	open-design	open-design/design-systems/paper/DESIGN.md	72	false		9	0	0	13	0	0	0
perplexity	Perplexity			inspired-by	open-design	open-design	open-design/design-systems/perplexity/DESIGN.md	287	false		9	69	6	22	5	0	0
perspective	Perspective			stub	open-design	open-design	open-design/design-systems/perspective/DESIGN.md	72	false		9	0	0	13	0	0	0
pinterest	Pinterest	Media & Consumer Tech	Visual discovery platform. Red accent, masonry grid, image-first	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/pinterest/DESIGN.md	598	true	version; name; description; colors; typography; rounded; spacing; components	11	38	0	62	5	2	0
playstation	PlayStation	Media & Consumer Tech	Gaming console retail. Three-surface channel layout, cyan hover-scale interaction	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/playstation/DESIGN.md	662	true	version; name; description; colors; typography; rounded; spacing; components	11	38	0	68	4	1	0
posthog	PostHog	Backend, Database & DevOps	Product analytics. Playful hedgehog branding, developer-friendly dark UI	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/posthog/DESIGN.md	691	true	version; name; description; colors; typography; rounded; spacing; components	11	45	0	68	5	3	0
premium	Premium			stub	open-design	open-design	open-design/design-systems/premium/DESIGN.md	72	false		9	0	0	13	0	0	0
professional	Professional			stub	open-design	open-design	open-design/design-systems/professional/DESIGN.md	72	false		9	0	0	13	0	0	0
publication	Publication			stub	open-design	open-design	open-design/design-systems/publication/DESIGN.md	72	false		9	0	0	13	0	0	0
raycast	Raycast	Developer Tools & IDEs	Productivity launcher. Sleek dark chrome, vibrant gradient accents	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/raycast/DESIGN.md	670	true	version; name; description; colors; typography; rounded; spacing; components	11	41	0	61	9	1	0
refined	Refined			stub	open-design	open-design	open-design/design-systems/refined/DESIGN.md	72	false		9	0	0	13	0	0	0
renault	Renault	Automotive	French automotive. Vivid aurora gradients, NouvelR proprietary typeface, zero-radius buttons	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/renault/DESIGN.md	590	true	version; name; description; colors; typography; rounded; spacing; components	11	39	0	45	6	5	0
replicate	Replicate	AI & LLM Platforms	Run ML models via API. Clean white canvas, code-forward	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/replicate/DESIGN.md	617	true	version; name; description; colors; typography; rounded; spacing; components	11	42	0	49	5	3	0
resend	Resend	Productivity & SaaS	Email API for developers. Minimal dark theme, monospace accents	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/resend/DESIGN.md	586	true	version; name; description; colors; typography; rounded; spacing; components	11	40	0	45	8	3	0
retro	Retro			stub	open-design	open-design	open-design/design-systems/retro/DESIGN.md	72	false		9	0	0	13	0	0	0
revolut	Revolut	Fintech & Crypto	Digital banking. Sleek dark interface, gradient cards, fintech precision	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/revolut/DESIGN.md	637	true	version; name; description; colors; typography; rounded; spacing; components	11	41	0	71	5	2	0
runwayml	Runway	AI & LLM Platforms	AI creative-tools platform with an editorial film-festival aesthetic — cinematic dark heroes, paper-white reading bands, single proprietary sans, and pure black pill CTAs.	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/runwayml/DESIGN.md	245	false		9	24	0	41	3	2	0
sanity	Sanity	Backend, Database & DevOps	Headless content platform with a dark-first editorial marketing surface — 112px display type, IBM Plex Mono technical eyebrows, and a single coral-red accent reserved for the highest-priority CTA.	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/sanity/DESIGN.md	358	false		9	56	1	130	1	0	0
sentry	Sentry	Backend, Database & DevOps	Error monitoring. Dark dashboard, data-dense, pink-purple accent	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/sentry/DESIGN.md	552	true	version; name; description; colors; typography; rounded; spacing; components	10	43	0	39	11	3	0
shadcn	Shadcn			stub	open-design	open-design	open-design/design-systems/shadcn/DESIGN.md	72	false		9	0	0	13	0	0	0
shopify	Shopify	E-commerce & Retail	E-commerce platform. Dark-first cinematic, neon green accent, ultra-light display type	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/shopify/DESIGN.md	517	true	version; name; description; colors; typography; rounded; spacing; components	10	38	0	44	6	2	1
simple	Simple			stub	open-design	open-design	open-design/design-systems/simple/DESIGN.md	72	false		9	0	0	13	0	0	0
skeumorphism	Skeumorphism			stub	open-design	open-design	open-design/design-systems/skeumorphism/DESIGN.md	72	false		9	0	0	13	0	0	0
slack	Slack			site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/slack/DESIGN.md	483	true	version; name; description; colors; typography; rounded; spacing; components	10	39	0	38	3	0	0
sleek	Sleek			stub	open-design	open-design	open-design/design-systems/sleek/DESIGN.md	72	false		9	0	0	13	0	0	0
spacex	SpaceX	Media & Consumer Tech	Space technology. Stark black and white, full-bleed imagery, futuristic	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/spacex/DESIGN.md	364	true	version; name; description; colors; typography; rounded; spacing; components	10	29	0	26	4	3	1
spacious	Spacious			stub	open-design	open-design	open-design/design-systems/spacious/DESIGN.md	72	false		9	0	0	13	0	0	0
spotify	Spotify	Media & Consumer Tech	Music streaming. Vibrant green on dark, bold type, album-art-driven	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/spotify/DESIGN.md	247	false		9	32	0	68	1	1	0
starbucks	Starbucks	E-commerce & Retail	Coffee retail flagship. Four-tier earth-green system, warm cream canvas, proprietary SoDoSans typography	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/starbucks/DESIGN.md	581	false		9	45	0	89	8	1	0
storytelling	Storytelling			stub	open-design	open-design	open-design/design-systems/storytelling/DESIGN.md	72	false		9	0	0	13	0	0	0
stripe	Stripe	Fintech & Crypto	Payment infrastructure. Signature purple gradients, weight-300 elegance	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/stripe/DESIGN.md	488	true	version; name; description; colors; typography; rounded; spacing; components	10	37	0	41	2	1	1
supabase	Supabase	Backend, Database & DevOps	Open-source Firebase alternative. Dark emerald theme, code-first	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/supabase/DESIGN.md	463	true	version; name; description; colors; typography; rounded; spacing; components	10	34	0	55	8	2	1
superhuman	Superhuman	Developer Tools & IDEs	Fast email client. Premium dark UI, keyboard-first, purple glow	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/superhuman/DESIGN.md	449	true	version; name; description; colors; typography; rounded; spacing; components	10	34	0	34	8	1	1
tesla	Tesla	Automotive	Electric vehicles. Radical subtraction, cinematic full-viewport photography, Universal Sans	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/tesla/DESIGN.md	287	false		9	28	0	35	2	1	0
tetris	Tetris			stub	open-design	open-design	open-design/design-systems/tetris/DESIGN.md	72	false		9	0	0	13	0	0	0
theverge	The Verge	Media & Consumer Tech	Tech editorial media. Acid-mint and ultraviolet accents, Manuka display type	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/theverge/DESIGN.md	340	false		9	42	0	107	9	3	0
together	Together AI	AI & LLM Platforms	Open-source AI infrastructure. Technical, blueprint-style design	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/together.ai/DESIGN.md	634	true	version; name; description; colors; typography; rounded; spacing; components	8	36	0	30	13	2	0
tommodern	Tom Modern			other	open-design	open-design	open-design/design-systems/tom-modern/DESIGN.md	362	false		9	48	5	31	3	0	0
totalityfestival	Totality Festival			site-analysis	open-design	open-design	open-design/design-systems/totality-festival/DESIGN.md	207	true	name; colors; typography; rounded; spacing; components	8	0	0	57	2	0	0
tradingterminal	Trading Terminal			other	open-design	open-design	open-design/design-systems/trading-terminal/DESIGN.md	178	false		9	23	5	30	1	2	0
uber	Uber	Media & Consumer Tech	Mobility platform. Bold black and white, tight type, urban energy	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/uber/DESIGN.md	637	true	version; name; description; colors; typography; rounded; spacing; components	8	37	0	28	12	2	0
urdu	Urdu			other	open-design	open-design	open-design/design-systems/urdu/DESIGN.md	1002	false		14	50	35	41	5	7	0
vercel	Vercel	Developer Tools & IDEs	Frontend deployment platform. Black and white precision, Geist font	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/vercel/DESIGN.md	737	true	version; name; description; colors; typography; rounded; spacing; components	8	42	0	79	15	2	1
vibrant	Vibrant			stub	open-design	open-design	open-design/design-systems/vibrant/DESIGN.md	72	false		9	0	0	13	0	0	0
vintage	Vintage			stub	open-design	open-design	open-design/design-systems/vintage/DESIGN.md	72	false		9	0	0	13	0	0	0
vodafone	Vodafone	Media & Consumer Tech	Global telecom brand. Monumental uppercase display, Vodafone Red chapter bands	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/vodafone/DESIGN.md	539	true	version; name; description; colors; typography; rounded; spacing; components	8	39	0	17	8	1	1
voltagent	VoltAgent	AI & LLM Platforms	AI agent framework. Void-black canvas, emerald accent, terminal-native	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/voltagent/DESIGN.md	522	true	version; name; description; colors; typography; rounded; spacing; components	8	37	0	32	1	0	0
warmeditorial	Warm Editorial			other	open-design	open-design	open-design/design-systems/warm-editorial/DESIGN.md	66	false		9	0	0	6	3	0	1
warp	Warp	Developer Tools & IDEs	Modern terminal. Dark IDE-like interface, block-based command UI	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/warp/DESIGN.md	527	true	version; name; description; colors; typography; rounded; spacing; components	8	35	0	20	2	0	0
webex	Webex			inspired-by	open-design	open-design	open-design/design-systems/webex/DESIGN.md	208	false		9	9	0	43	0	0	0
